label,text
ham,Don't forget about the meeting at 10 AM tomorrow.
ham,Please review the attached document and respond.
ham,Don't forget about the meeting at 10 AM tomorrow.
spam,You've been chosen for a premium rewards program.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,This is not a scam. You really have won big!
spam,Update your billing info to avoid service interruption.
ham,Let's catch up over coffee this weekend.
spam,Limited time offer! Work from home and earn $500 a day!
spam,You have been selected for a cash prize. Respond immediately!
spam,"Dear customer, we are giving away free iPhones!"
spam,Win a vacation to the Bahamas! Only 2 spots left.
ham,Can you send me the notes from the last lecture?
spam,URGENT: Your account has been compromised. Login now to verify.
ham,Happy birthday! Hope you have a great day!
spam,Limited time offer! Work from home and earn $500 a day!
ham,Don't forget about the meeting at 10 AM tomorrow.
ham,Please review the attached document and respond.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,Limited time offer! Work from home and earn $500 a day!
ham,Please review the attached document and respond.
ham,Don't forget about the meeting at 10 AM tomorrow.
spam,Win a vacation to the Bahamas! Only 2 spots left.
spam,URGENT: Your account has been compromised. Login now to verify.
ham,Don't forget about the meeting at 10 AM tomorrow.
spam,Win a vacation to the Bahamas! Only 2 spots left.
spam,Update your billing info to avoid service interruption.
ham,Let's catch up over coffee this weekend.
spam,Limited time offer! Work from home and earn $500 a day!
ham,Don't forget about the meeting at 10 AM tomorrow.
spam,Act now! Get your free trial before it expires.
spam,You've been chosen for a premium rewards program.
ham,Can you send me the notes from the last lecture?
spam,Limited time offer! Work from home and earn $500 a day!
ham,I'll call you when I finish work.
spam,You have been selected for a cash prize. Respond immediately!
ham,I'll call you when I finish work.
ham,I'll call you when I finish work.
spam,You have been selected for a cash prize. Respond immediately!
spam,"Dear customer, we are giving away free iPhones!"
spam,Update your billing info to avoid service interruption.
spam,"Dear customer, we are giving away free iPhones!"
spam,Limited time offer! Work from home and earn $500 a day!
ham,Let's catch up over coffee this weekend.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,This is not a scam. You really have won big!
ham,I'll call you when I finish work.
spam,You have been selected for a cash prize. Respond immediately!
ham,Can you send me the notes from the last lecture?
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
spam,Act now! Get your free trial before it expires.
spam,Act now! Get your free trial before it expires.
spam,Limited time offer! Work from home and earn $500 a day!
spam,You have been selected for a cash prize. Respond immediately!
spam,Act now! Get your free trial before it expires.
ham,Happy birthday! Hope you have a great day!
spam,Act now! Get your free trial before it expires.
ham,Let's catch up over coffee this weekend.
spam,This is not a scam. You really have won big!
ham,"I'm running a bit late, be there soon."
ham,Let me know if you need help with the project.
ham,Let's catch up over coffee this weekend.
ham,Let me know if you need help with the project.
spam,Act now! Get your free trial before it expires.
ham,Please review the attached document and respond.
ham,Don't forget about the meeting at 10 AM tomorrow.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Please review the attached document and respond.
ham,Can you send me the notes from the last lecture?
ham,Can you send me the notes from the last lecture?
ham,"I'm running a bit late, be there soon."
spam,This is not a scam. You really have won big!
ham,Can you send me the notes from the last lecture?
spam,"Dear customer, we are giving away free iPhones!"
ham,Let me know if you need help with the project.
ham,Can you send me the notes from the last lecture?
ham,Thanks for your help on the assignment.
spam,"Dear customer, we are giving away free iPhones!"
ham,I'll call you when I finish work.
ham,Don't forget about the meeting at 10 AM tomorrow.
ham,Let's catch up over coffee this weekend.
ham,Let me know if you need help with the project.
spam,Win a vacation to the Bahamas! Only 2 spots left.
spam,"Dear customer, we are giving away free iPhones!"
spam,Update your billing info to avoid service interruption.
ham,"I'm running a bit late, be there soon."
spam,Update your billing info to avoid service interruption.
spam,"Dear customer, we are giving away free iPhones!"
spam,URGENT: Your account has been compromised. Login now to verify.
ham,Please review the attached document and respond.
ham,Let's catch up over coffee this weekend.
ham,"I'm running a bit late, be there soon."
ham,Happy birthday! Hope you have a great day!
ham,Don't forget about the meeting at 10 AM tomorrow.
spam,Limited time offer! Work from home and earn $500 a day!
ham,Don't forget about the meeting at 10 AM tomorrow.
ham,Don't forget about the meeting at 10 AM tomorrow.
spam,Act now! Get your free trial before it expires.
ham,Let me know if you need help with the project.
ham,"Hey, are we still on for dinner tonight?"
